Raw Value,Voltage (V),Current (mA),Receiver Ultrasound,Pressure (mmHg)
2787,2.25,12.48,784.0,39.74
2799,2.26,12.53,784.0,39.99
2793,2.25,12.5,784.0,39.87
2782,2.24,12.46,787.0,39.64
2777,2.24,12.43,787.0,39.53
2772,2.23,12.41,794.0,39.43
2768,2.23,12.39,797.0,39.34
2765,2.23,12.38,796.0,39.28
2761,2.22,12.36,802.0,39.2
2768,2.23,12.39,805.0,39.34
2765,2.23,12.38,806.0,39.28
2762,2.23,12.37,805.0,39.22
2755,2.22,12.33,815.0,39.07
2765,2.23,12.38,811.0,39.28
2755,2.22,12.33,815.0,39.07
2751,2.22,12.32,817.0,38.99
2734,2.2,12.24,819.0,38.63
2719,2.19,12.17,816.0,38.31
2711,2.18,12.14,816.0,38.15
2701,2.18,12.09,815.0,37.94
2690,2.17,12.04,816.0,37.71
2680,2.16,12.0,816.0,37.5
2675,2.16,11.98,816.0,37.39
2662,2.15,11.92,815.0,37.12
2619,2.11,11.73,810.0,36.22
2523,2.03,11.3,791.0,34.2
2448,1.97,10.96,775.0,32.63
2459,1.98,11.01,782.0,32.86
2485,2.0,11.13,786.0,33.4
2491,2.01,11.15,787.0,33.53
2512,2.02,11.25,791.0,33.97
2479,2.0,11.1,791.0,33.28
2494,2.01,11.17,794.0,33.59
2493,2.01,11.16,795.0,33.57
2491,2.01,11.15,803.0,33.53
2499,2.01,11.19,800.0,33.7
2492,2.01,11.16,803.0,33.55
2500,2.01,11.19,803.0,33.72
2491,2.01,11.15,807.0,33.53
2469,1.99,11.05,807.0,33.07
2490,2.01,11.15,807.0,33.51
2480,2.0,11.1,805.0,33.3
2498,2.01,11.18,813.0,33.68
2559,2.06,11.46,811.0,34.96
2489,2.01,11.14,806.0,33.49
2492,2.01,11.16,811.0,33.55
2487,2.0,11.13,814.0,33.44
2482,2.0,11.11,816.0,33.34
2486,2.0,11.13,817.0,33.42
